,predictions
0,-10.90092658996582
1,-10.906704902648926
2,-10.906704902648926
3,-10.082653999328613
4,-10.082653999328613
5,-10.082653999328613
6,-10.088432312011719
7,-10.90092658996582
8,-10.906704902648926
9,-10.088432312011719
10,-10.088432312011719
11,-10.906704902648926
12,-10.088432312011719
13,-10.082653999328613
14,-10.906704902648926
15,-10.082653999328613
16,-10.906704902648926
17,-10.906704902648926
18,-10.082653999328613
19,-10.088432312011719
20,-11.492825508117676
21,-10.082653999328613
22,-10.90092658996582
23,-10.082653999328613
24,-10.906704902648926
25,-10.906704902648926
26,-10.906704902648926
27,-11.498603820800781
28,-10.088432312011719
29,-10.906704902648926
30,-10.906704902648926
31,-10.906704902648926
32,-10.088432312011719
33,-10.906704902648926
34,-12.450836181640625
35,-10.906704902648926
36,-10.90092658996582
37,-10.088432312011719
38,-10.082653999328613
39,-10.906704902648926
40,-10.082653999328613
41,-12.450836181640625
42,-10.906704902648926
43,-10.082653999328613
44,-10.088432312011719
45,-10.906704902648926
46,-10.088432312011719
47,-10.088432312011719
48,-10.906704902648926
49,-10.906704902648926
50,-10.088432312011719
51,-10.082653999328613
52,-10.082653999328613
53,-11.498603820800781
54,-10.082653999328613
55,-10.082653999328613
56,-10.906704902648926
57,-11.626785278320312
58,-10.906704902648926
59,-12.006230354309082
60,-11.492825508117676
61,-10.088432312011719
62,-10.906704902648926
63,-10.088432312011719
64,-10.088432312011719
65,-10.906704902648926
66,-10.082653999328613
67,-10.088432312011719
68,-10.082653999328613
69,-10.906704902648926
70,-10.088432312011719
71,-10.088432312011719
72,-10.088432312011719
73,-11.492825508117676
74,-10.082653999328613
75,-10.906704902648926
76,-11.626785278320312
77,-10.906704902648926
78,-10.088432312011719
79,-10.90092658996582
80,-11.626785278320312
81,-10.906704902648926
82,-11.626785278320312
83,-10.088432312011719
84,-10.088432312011719
85,-10.082653999328613
86,-10.906704902648926
87,-10.088432312011719
88,-10.088432312011719
89,-10.088432312011719
90,-10.082653999328613
91,-11.626785278320312
92,-10.906704902648926
93,-11.492825508117676
94,-12.44505786895752
95,-11.626785278320312
96,-10.082653999328613
97,-10.082653999328613
98,-11.626785278320312
99,-10.082653999328613
100,-10.082653999328613
101,-11.492825508117676
102,-10.906704902648926
103,-10.088432312011719
104,-10.088432312011719
105,-10.906704902648926
106,-10.906704902648926
107,-11.492825508117676
108,-10.088432312011719
109,-10.906704902648926
110,-10.906704902648926
111,-10.906704902648926
112,-10.906704902648926
113,-10.90092658996582
114,-10.088432312011719
115,-10.082653999328613
116,-10.082653999328613
117,-10.082653999328613
118,-10.088432312011719
119,-10.082653999328613
120,-10.088432312011719
121,-10.088432312011719
122,-10.082653999328613
123,-10.088432312011719
124,-11.626785278320312
125,-10.906704902648926
126,-10.906704902648926
127,-10.906704902648926
128,-10.906704902648926
129,-10.088432312011719
130,-10.082653999328613
131,-10.906704902648926
132,-10.088432312011719
133,-10.90092658996582
134,-10.088432312011719
135,-10.90092658996582
136,-12.44505786895752
137,-10.082653999328613
138,-10.906704902648926
139,-10.088432312011719
140,-10.906704902648926
141,-11.626785278320312
142,-12.450836181640625
143,-10.906704902648926
144,-10.906704902648926
145,-10.906704902648926
146,-10.906704902648926
147,-10.088432312011719
148,-10.088432312011719
149,-11.492825508117676
150,-10.088432312011719
151,-10.088432312011719
152,-11.492825508117676
153,-10.088432312011719
154,-11.626785278320312
155,-10.906704902648926
156,-10.088432312011719
157,-10.088432312011719
158,-10.088432312011719
159,-10.906704902648926
160,-10.082653999328613
161,-10.088432312011719
162,-10.90092658996582
163,-10.906704902648926
164,-10.082653999328613
165,-10.088432312011719
166,-10.906704902648926
167,-10.088432312011719
168,-10.906704902648926
169,-10.906704902648926
170,-11.626785278320312
171,-10.088432312011719
172,-10.088432312011719
173,-10.906704902648926
174,-10.90092658996582
175,-10.90092658996582
176,-10.906704902648926
177,-10.082653999328613
178,-10.906704902648926
179,-10.906704902648926
180,-12.316876411437988
181,-10.906704902648926
182,-10.906704902648926
183,-10.088432312011719
184,-10.088432312011719
185,-11.626785278320312
186,-10.088432312011719
187,-11.492825508117676
188,-11.626785278320312
189,-12.44505786895752
190,-10.906704902648926
191,-10.088432312011719
192,-10.906704902648926
193,-10.906704902648926
194,-10.906704902648926
195,-10.906704902648926
196,-12.006230354309082
197,-10.906704902648926
198,-10.906704902648926
199,-10.906704902648926
200,-10.088432312011719
201,-10.082653999328613
202,-10.088432312011719
203,-10.082653999328613
204,-10.082653999328613
205,-10.906704902648926
206,-10.906704902648926
207,-10.082653999328613
208,-10.088432312011719
209,-10.088432312011719
210,-12.44505786895752
211,-10.088432312011719
212,-10.088432312011719
213,-10.906704902648926
214,-10.906704902648926
215,-10.088432312011719
216,-10.906704902648926
217,-12.450836181640625
218,-12.450836181640625
219,-11.498603820800781
220,-10.906704902648926
221,-10.906704902648926
222,-11.626785278320312
223,-10.088432312011719
224,-10.906704902648926
225,-10.906704902648926
226,-10.906704902648926
227,-10.906704902648926
228,-10.906704902648926
229,-12.44505786895752
230,-11.498603820800781
231,-10.906704902648926
232,-10.906704902648926
233,-10.088432312011719
234,-10.90092658996582
235,-10.906704902648926
236,-10.906704902648926
237,-12.44505786895752
238,-10.082653999328613
239,-10.088432312011719
240,-10.088432312011719
241,-10.082653999328613
242,-10.082653999328613
243,-12.44505786895752
244,-12.44505786895752
245,-12.44505786895752
246,-12.44505786895752
247,-10.906704902648926
248,-10.906704902648926
249,-10.906704902648926
250,-10.906704902648926
251,-10.088432312011719
252,-12.44505786895752
253,-10.082653999328613
254,-10.088432312011719
255,-10.088432312011719
256,-11.626785278320312
257,-10.906704902648926
258,-10.906704902648926
259,-10.088432312011719
260,-11.626785278320312
261,-11.626785278320312
262,-12.44505786895752
263,-10.906704902648926
264,-10.088432312011719
265,-11.626785278320312
266,-10.088432312011719
267,-10.088432312011719
268,-11.492825508117676
269,-10.082653999328613
270,-10.906704902648926
271,-12.311098098754883
272,-10.906704902648926
273,-10.082653999328613
274,-10.906704902648926
275,-10.088432312011719
276,-10.906704902648926
277,-12.450836181640625
278,-11.626785278320312
279,-10.906704902648926
280,-10.906704902648926
281,-10.906704902648926
282,-11.626785278320312
283,-12.140190124511719
284,-12.140190124511719
285,-11.492825508117676
286,-10.906704902648926
287,-10.906704902648926
288,-10.082653999328613
289,-10.088432312011719
290,-10.906704902648926
291,-10.906704902648926
292,-10.082653999328613
293,-10.088432312011719
294,-12.44505786895752
295,-10.088432312011719
296,-10.082653999328613
297,-10.088432312011719
298,-10.906704902648926
299,-10.906704902648926
300,-10.082653999328613
301,-10.082653999328613
302,-10.088432312011719
303,-10.088432312011719
304,-10.906704902648926
305,-10.088432312011719
306,-10.088432312011719
307,-12.44505786895752
308,-10.906704902648926
309,-10.088432312011719
310,-10.088432312011719
311,-10.088432312011719
312,-10.906704902648926
313,-10.906704902648926
314,-10.906704902648926
